sentiment,Retweets
-1,RT @USFreedomArmy: When will people understand this about globalism &amp; not global warming. Enlist ----&gt;  Act!! https…
-1,
-1,"RT @realDonaldTrump: It's freezing outside, where the hell is 'global warming'??"
-1,RT @GeneraLeeIntuit: @dcexaminer Weathermen can't get tomorrow's climate change right but based on the same data they predict the climate …
-1,RT @realDonaldTrump: The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.
-1,"RT @BrentBozell: If you rewrite history to fit the climate change agenda, you're not a journalist. You're a propagandist. …"
-1,"RT @hrkbenowen: The HORROR! Chelsea Clinton blames diabetes on climate change, gets fact-checked HARD "
-1,RT @TwitchyTeam: New York Times 'slammed' with cancellations as punishment for climate change heresy 
-1,RT @realDonaldTrump: The global warming we should be worried about is the global warming caused by NUCLEAR WEAPONS in the hands of crazy orÃ¢â‚¬Â¦
-1,RT @RealJamesWoods: Do penises cause climate change? Discuss | The Spectator // I need not comment on this one... #liberals …
-1,RT @Carbongate: Climate Change - the REAL inconvenient truth. Scientist claims global warming is NATURAL 
-1,
-1,
-1,"RT @sean_spicier: Hope the President's new climate change regs don't cause California to fall into this Pacific this weekend, I have plans"
-1,"RT @ReaganTMan: Media falsely spins Trump's NYT climate comments - #Trump cited Climategate, restated skepticism of 'global warming' https:…"
-1,RT @NickDSmith: Why are climate change fanatics so frightened of Lord Lawson.?
-1,
-1,
-1,
-1,
-1,RT @realDonaldTrump: The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.
-1,"RT @Cernovich: Same 'experts' who said Hillary would win claim 'climate change' is real. LOL! Go away, morons, you know nothing and you losÃ¢â‚¬Â¦"
-1,
-1,"RT @ELDOBLEEM: Any scientist out there Still want to defend climate change? Both hoax inventors have run...
��ok lets focus on pic…"
-1,
-1,
-1,RT @TomiLahren: How to anger a Conservative: hurt American jobs. How to anger a Liberal: insult the climate change crusade. …
-1,"RT @nia_trump: #ClimateChange For $ TRILLION Al Gore will save the earth. From what tho, global warming, ice age or the fatties?…"
-1,
-1,"RT @samdastyari: Hey @PaulineHansonOz, how good is it that climate change isn't real? Imagine how hot it would be otherwise."
-1,
-1,
-1,RT @realDonaldTrump: The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.
-1,
-1,RT @ClimateDepot: New report about Antarctica is horrible news for global warming alarmists – TheBlaze - 
-1,
-1,RT @CattHarmony: I'd rather #MarchforBabies than march for fake science of climate change. 
-1,RT @sean_spicier: The nice part about a nuclear arms race in the Middle East is we won't be around to really experience climate change's wr…
-1,
-1,
-1,
-1,RT @thelanarchist: Geoengineering programs jets spraying arosols is making climate change.... 
-1,"RT @iluvspringtime: Once Trump refuses to send (lots of money)Grants for research, watch how quickly the climate change fad will disappÃ¢â‚¬Â¦"
-1,
-1,
-1,RT @PrisonPlanet: A bunch of Oxford elitists want to tax the food of poor people because 'climate change'. How about fuck off instead? httpÃ¢â‚¬Â¦
-1,
-1,
-1,
-1,RT @PrisonPlanet: Anyone lecturing me about the 'science' behind global warming who simultaneously thinks there are more than two genders c…
-1,RT @Heritage: President Trump must resist pressure from foreign leaders to cave in on global warming. 
-1,RT @JoeFreedomLove: Blog: Science fights back against the global warming fraud 
-1,
-1,
-1,
-1,"RT @TheFoundingSon: NOAA scientists manipulated temperature data to make global warming seem worse

Who's surprised? Not me
…"
-1,RT @GeorgiaLogCabin: NOAA's global warming data manipulation  #Economy #National
-1,
-1,"RT @MarkACollett: The biggest threat to the environment isn't global warming, it's overpopulation that is fuelled by liberal aid to the thi…"
-1,RT @davidicke: Founder of Weather Channel blasts total fraud of climate change: Science fraud run by the Left…
-1,
-1,"RT @JonoZalay: Here's a pic of arctic ice proving climate change...
Not falling for it.
Hillary is sex trafficking out of a pizza parlor.…"
-1,RT @JunkScience: How 'climate scientists' decide to attribute weather events to global warming. 
-1,
-1,
-1,"RT @AviWoolf: When the leader of the free world claims climate change caused the Syrian Civil War, you're in cukoo land. Period. Ã¢â‚¬Â¦"
-1,"RT @_donaldson: #StandUpForScience, and forget the fact we've been changing our minds on global warming since . "
-1,RT @FoxNews: .@ericbolling: 'It's very profitable to be in the global warming hysteria business.' #CashinIn 
-1,
-1,"RT @ChuckNellis: The climate change SCAM, revealed! "
-1,
-1,
-1,"RT @CraigRBrittain: By not acknowledging that the reports have said that climate change is  years away, you're the one denying clima… "
-1,
-1,RT @TomiLahren: Been sitting here waiting for a delayed flight watching CNN for hrs. In that time they've covered Russia &amp; climate change.…
-1,RT @ScientistTrump: It's º (really cold) in New York  today - tell the so-called 'scientists' that we want global warming right now!…
-1,
-1,
-1,
-1,RT @SteveSGoddard: Natural climate change produces C swings in Antarctic temperature. Man-made climate change produces C swings.…
-1,RT @Uniocracy: To combat 'climate change'? You're having a f***ing laugh!  #OpChemtrails
-1,
-1,
-1,"RT @Carbongate: Physicist – CO does not cause climate change, it RESPONDS to it.
 "
-1,
-1,
-1,
-1,RT @steph: Libs are so mad that we don't have to buy into their climate change cult nonsense anymore.
-1,
-1,"RT @TombxM: Can't wait for that global warming thing to kick in.
 #blizzard "
-1,
-1,"RT @Uniocracy: The UN blames you for climate change, meanwhile ignores this 
 .#OpChemtrails"
-1,
-1,"RT @LouDobbs: Federal scientist cooked climate change books, whistle blower charges via the @FoxNews App #MAGA #TrumpTrain #Dobbs …"
-1,"RT @BigStick: Breaking 
Whistle Blower: Federal scientist cooked climate change books ahead of Obama presentation …"
-1,RT @goburch: I just aint believing all that global warming bunk. 
-1,RT @PrisonPlanet: The so-called “Consensus” on global warming is a massive lie. 
-1,
-1,
-1,"RT @LouDobbs: Left Anti-Science, Pro-Fraud: World leaders duped by manipulated global warming data  via @MailOnline…"
-1,
-1,
-1,"RT @kwilli: Attention all liberals, Macron offers you “refugee” status. Please move and leave USA ASAP over climate change! …"
-1,RT @tan: 'Apple could not resist pushing the global warming religion as part of its “Earth Day” political blitz on iOS users' …
-1,
-1,RT @kcjw: Dr. Roger Pielke Jr.: ‘The science ain’t there’ to link extreme weather to ‘climate change’  #feedly
-1,
-1,"RT @railboy:  Inches of global warming on I- between Cheyenne, Wyo. And Laramie, Wyo. This week....@algore unavailable for c…"
-1,RT @theblaze: Rick Perry urges more conversation about the unsettled science of climate change  …
-1,
-1,
-1,"RT @Rick_Stuart: Concussion is like climate change

It isn't real

Stop listening to so called 'doctors'.

If they have never played how…"
-1,
-1,
-1,"RT @LeahRBoss: The left's meltdown is causing global warming. ��

 #WhyWeMustImpeachTrumpInWords"
-1,
-1,RT @JunkScience: NOAA is adjusting temperature data to match global warming theory. … 
-1,"RT @charliekirk: I am not concerned about global warming 

I am however terrified of global government"
-1,
-1,
-1,
-1,RT @TrumpNewYorker: The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitiv…
-1,"RT @Carbongate: Physicist - CO does not cause climate change, it RESPONDS to it - Video "
-1,"RT @licialopez: good news: our next president doesn't believe in climate change!! at least we'll have a good economy though, earth ain'tÃ¢â‚¬Â¦"
-1,
-1,RT @JessieJaneDuff: These Obama people just won't go away: McCarthy drove Obama's climate change agenda and now plans to keep tabs on T…
-1,
-1,
-1,RT @davidicke: University scientists claim left-wing violence is caused by global warming… 'the planet made them do it'…
-1,RT @CommonSense: There is no evidence of man made climate change. Warm days at the beach are always appreciated. 
-1,RT @CounterMoonbat: The people who predicted parts of Manhattan would be underwater by  due to climate change are concerned about 'fake…
-1,"RT @LeahRBoss: North Korea is what happens after  years of fighting over bathrooms, and whether or not cow farts cause global warming."
-1,RT @kwilli: Al Gore admits Paris Accord won't solve the issue of 'climate change.' 
-1,
-1,
-1,
-1,RT @AFreespeechzone: Merkley co-sponsors aggressive climate change bill @SenJeffMerkley #BullShit #FakeScience  http…
-1,RT @ClimateDepot: Spencer: 'What a powerful theory..even more amazing is climate change can be averted by just increasing your taxes' https…
-1,
-1,RT @sean_spicier: The President's plan to fight climate change is just about the most comprehensive no point plan ever conceived
-1,
-1,RT @chuckwoolery: Mayor of disappearing island faces Al Gore and shuts down global warming claim  via @theblaze
-1,RT @BreitbartNews: “We who voted for you consider stopping this climate change madness one of your key promises.” 
-1,
-1,RT @ScottAdamsSays: Did you know the consensus of experts says climate change has been good for the planet and it will get even better…
-1,"RT @LadyDurrant: Waste of our money! There has been little benefit from a £ billion foreign aid programme to tackle climate change.
https:…"
-1,"RT @climateviewer: Rockets, Harry Wexler, and REAL climate change 
Punching holes in the upper atmosphere causes chemical... …"
-1,RT @KaptKan: The Russians are making the climate change!
-1,"RT @palmtile: Climate change and global warming is totally natural,stop wasting our money on a trying to stop it�� it's impossible …"
-1,
-1,RT @Liz_Wheeler: I wonder why climate change criers on the left don't protest #TaxDay? K trees are cut down yearly to produce paper for…
-1,
-1,
-1,
-1,
-1,RT @JohnStossel: TrumpÃ¢â‚¬â„¢s election wonÃ¢â‚¬â„¢t stop deceitful climate change propaganda: 
-1,
-1,RT @SteveSGoddard: Arctic sea ice extent is at a four year high. It is time for Republicans to stop supporting the global warming scam…
-1,
-1,
-1,RT @PrisonPlanet: Is there any kind of weather that global warming isn't responsible for? How convenient. 
-1,RT @MorattiJ: @cathmckenna Am so done with ridiculous language from politicians like 'climate change' &amp; 'carbon taxes' while they…
-1,
-1,
-1,
-1,RT @realDonaldTrump: The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.
-1,
-1,
-1,RT @AlexEpstein: % of scientists do not agree that climate change will be catastrophic or with Bill Ritter’s policy solutions. …
-1,
-1,
-1,
-1,
-1,
-1,
-1,
-1,
-1,RT @USFreedomArmy: Nothing worse than climate change now is there. Enlist with us &amp; read the truth at  Act!! https:…
-1,
-1,RT @jeffpearlman: But climate change is a hoax. Go back to watching the Kardashians. 
-1,
-1,RT @ZehDuck: I just spilled orange juice on my shirt.  I can't decide on whether to blame the Russians or climate change. 🤔
-1,
-1,RT @BennyMoody: Environmental scientists from New York planning to travel and speak on global warming are going to be snowed in during mi…
-1,
-1,
-1,RT @BABYG: climate change is a myth 
-1,
-1,
-1,
-1,RT @realDonaldTrump: The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.
-1,RT @theblaze: Watch: Bill Nye blows gasket when a real scientist schools him on facts about ‘climate change’…
-1,
-1,
-1,"RT @SteveSGoddard: It was very warm in the 's. This wrecked @NASA's fake global warming story, so they erased the prior warmth.…"
-1,"RT @EducationLibs: Facts: There are  genders, global warming is made up, the pay gap isn't real, women have equal rights, guns save lives…"
-1,
-1,
-1,
-1,RT @kwilli: JW suspects fraud ‘science’ behind the Obama EPA - a scheme to end coal under the guise of fighting global warming. https:/…
-1,"RT @AlanJones: The final nail in the global warming coffin. Read it and weep 

"
-1,"RT @RedHotSquirrel: When the much-publicised global warming hits the Northern Hemisphere in :

Greenland's icecap hits record
Switzerla…"
-1,RT @sean_spicier: Getting set up in my office. Found stacks of manuals titled 'How climate change causes terrorism.' Should be good kindlin…
-1,"RT @JaredWyand: Steve Bannon means bye bye to the climate change scheme we're spending $,,, a year on for 'research'

Ã¢â‚¬Â¦"
-1,RT @hockeyschtick: 'When climate change warriors can’t keep their stories straight' 
-1,"RT @TwitchyTeam: Tree-huggin’ hippie! Man walking BAREFOOT across America to protest climate change, ‘save the earth’ 

…"
-1,
-1,RT @Thomas_Hern: You might be a liberal if you'd rather fight climate change instead of ISIS.
-1,RT @drrimer: @TTrogdon @chrislhayes And there is no climate change. #Trump
-1,
-1,RT @DineshDSouza: CLIMATE SCIENCE ACCORDING TO THE LEFT: We know global warming is real if it gets hotter--or colder 
-1,
-1,
-1,
-1,
-1,RT @theblaze: Watch: CNN anchor tries to tie Hurricane Harvey to climate change — then scientist confronts him with truth…
-1,
-1,
-1,RT @realDonaldTrump: The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.
-1,RT @InfoWarsChannel: Exposed: How world leaders were duped into investing billions over manipulated global warming data …
-1,
-1,
-1,
-1,RT @realDonaldTrump: Windmills are the greatest threat in the US to both bald and golden eagles. Media claims fictional Ã¢â‚¬Ëœglobal warmingÃ¢â‚¬â„¢ isÃ¢â‚¬Â¦
-1,RT @barelypolitix: 'Earth Weekend' is a good time to recall that man-made climate change is a huge hoax designed by Liberals to centralize…
-1,"RT @SteveSGoddard: Gina McCarthy was completely unqualified and incompetent, but she supported the global warming scam - and that made… "
-1,"RT @Chairmnoomowmow: Before you sit for a lecture about climate change from a california liberal, take a look at the job they're doing.Ã¢â‚¬Â¦"
-1,"RT @mitchellvii: If CO causes global warming and the warmer it gets, the more CO the oceans release, why isn't Earth Venus by now?"
-1,"RT @MNasanut: @yceek Are these 'scientists' the same ones that promulgated global warming and climate change? 
Pbbbbbbtttttttt ��"
-1,
-1,
-1,RT @HistoryTime_: The theory of global warming was first proposed on  September .  
-1,
-1,RT @LIBSRSCUM: Not one of these climate change alarmist claims has ever come true. 
-1,RT @MassDeception: NOAA got caught faking global warming temperature data… so where is the apology for spreading fake science?…
-1,
-1,RT @sellumore: Had to go out and shovel  centimetres of global warming off of my driveway. 
-1,
-1,
-1,
-1,
-1,
-1,
-1,"RT @Miskonius: And so 'anti-science', since it continues to show up and ruin those beautiful global warming theories. …"
-1,
-1,"RT @SteveSGoddard: In case I never mentioned it, catastrophic global warming is the biggest scam in science history - and is being run by c…"
-1,
-1,"RT @robbincanada: What's gonna be more important, Canada relation w/USA &amp; role in NATO or wasted tax payer climate change seat at UNSC."
-1,RT @StefanMolyneux: Advocacy for big government climate change programs is often connected to personally financially benefitting from those…
-1,RT @abdwj: @davidakin liberal motto..spend spend spend spend spend...tax tax tax tax tax...climate change..khadr is our hero
-1,RT @JudicialWatch: Obama admin officials may have mishandled scientific data to advance the political agenda of global warming …
-1,
-1,RT @JunkScience: Of course Al Gore announces a new global warming movie as the US gets an Arctic blast. #GoreEffect 
-1,"RT @JaredWyand: Steve Bannon means bye bye to the climate change scheme we're spending $,,, a year on for 'research'

Ã¢â‚¬Â¦"
-1,RT @Marie: @deeaniels @AllenWest An oceans rising climate change panicer who has a waterfront mansion
-1,
-1,"RT @ZebulonPike: @luisbaram Definitely caused by global warming. Quick, hand over all your money!"
-1,RT @TeamTrump: .@realDonaldTrump will cut taxes &amp; cancel billions in global warming payments to the UN so we can use that money toÃ¢â‚¬Â¦
-1,RT @LgLg: Al Gore confronts little girl who says climate change is bullshit! 
-1,RT @CounterMoonbat: I moved from the south to Minnesota. Different climate. I bought a big-ass coat. I adapted to climate change.
-1,"RT @realDonaldTrump: It's freezing outside, where the hell is 'global warming'??"
-1,
-1,"RT @ARnews: Whistleblower admits scientists manipulated data, making global warming seem worse to help Obama  #a…"
-1,RT @realDonaldTrump: The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.
-1,RT @SenatorMRoberts: The most profound change we are going to witness is the unceremonious dumping of climate change scams under a Trump PrÃ¢â‚¬Â¦
-1,RT @LamarSmithTX: NOAA sr officials played fast &amp; loose w/data in order  meet politically predetermined conclusion on climate change htt…
-1,RT @PolitixGal: TOP Dept of Energy scientist was fired because he failed to toe the climate change agenda pushed by Obama. …
-1,
-1,RT @reedsprague: Big Al: working to get his slice of the twelve trillion dollars he &amp; others are demanding for fake global warming. https:/…
-1,RT @sweetatertot: In the 's the so called 'scientists' were telling us the earth would freeze over now it's global warming ��smh…
-1,RT @tan: Climate change skepticism from a leftist: 'fear mongering around climate change needs to stop' 
-1,
-1,
-1,"RT @mitchellvii: To reduce global warming, Democrats are planning a trip to the Sun to turn it down. As a safety precaution, they will lan…"
-1,
-1,"RT @SaveLibertyst: Moore, co-founder of Greenpeace, says humans are NOT to blame for global warming, &amp; 'no scientific proof' climate c… "
-1,
-1,RT @CrazyinRussia: Russians haven't got time for you climate change shit. 
-1,
-1,RT @EWErickson: Science is political. So you can’t trust science. But trust all the climate change scientists you bigots. …
-1,"RT @Joeydoughnuts: @CharlieDaniels I would like to know if man made climate change exists, but there are no dinosaurs left to ask. The…"
-1,
-1,"RT @FightNowAmerica: The majority of scientists who say climate change is man-made received millions for their so-called 'research'.

Tr…"
-1,"RT @RawhideClover: There is not enough data to prove global warming. The earth has cycles, they have been messing with the atmosphere… "
-1,
-1,
-1,
-1,"RT @DineshDSouza: .@FoxNews Once again, the bad guys are caught red handed cooking the data on climate change "
-1,
-1,RT @KGBVeteran: WATCH: Crazed leftist verbally assaults Trump supporter on a plane.  Then goes on bizarre rant about climate change. https:…
-1,
-1,
-1,
-1,
-1,"RT @JohnRiversX: Exposed: How world leaders were duped into investing billions over manipulated global warming data 
…"
-1,
-1,RT @SheriffClarke: Al Gore wasn't seeking common ground during  yrs of Obama. Was jamming global warming junk science down our throats htt…
-1,RT @realDonaldTrump: They changed the name from “global warming” to “climate change” after the term global warming just wasn’t working (it…
-1,
-1,
-1,
-1,
-1,
-1,RT @brithume: Worth keeping these in mind amid the current doomsday predictions about climate change. 
-1,"RT @randykjo: The fake news (CNN) is trying to blame all this rainfall for towards global warming now, incredible that they know more than…"
-1,"RT @SteveSGoddard: Dear #peoplesclimatemarch 
Is it OK to bring snowshoes and Arctic clothing to the Denver global warming protest tom…"
-1,"RT @hale_razor: When Russia hacks the Pentagon, Obama says the greatest threat is climate change. Make Donna Brazile look bad? War! https:/…"
-1,
-1,
-1,
-1,
-1,
-1,RT @TeamTrump: .@realDonaldTrump will cut taxes &amp; cancel billions in global warming payments to the UN so we can use that money toÃ¢â‚¬Â¦
-1,RT @BenWilhelm: Alt: Tens of thousands of gullible fools who think man-made climate change is a thing used fossil-fuel powered vehi…
-1,
-1,
-1,
-1,RT @Nappers: Bill Nye blows gasket when a real scientist schools him on facts about ‘climate change’ - Hot news - YouTube …
-1,"RT @larryelder: Lefties, who reject oil company anti-global warming studies, embrace gov't health care studies that 'prove' the need for mo…"
-1,"RT @goddersbloom: Man made apocryphal climate change, is it the longest running State sponsored scientific scam in the history of man… "
-1,RT @weknowwhatsbest: A whistleblower says the only global warming occurring in the last  years was caused by the Obama administration coo…
-1,
-1,
-1,RT @TelcoJ: Bill Nye whines at CNN for having actual SCIENTIST on who doesn’t support climate change doctrine 
-1,RT @realDonaldTrump: The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.
-1,"RT @PrisonPlanet: If you don't believe in man-made climate change you're a 'white supremacist'.

FAKE NEWS. 🤗 "
-1,"RT @hvd: It's not denial, it's FACT. Show me your scientific evidence that global warming is man made and I'll apologize for… "
-1,
-1,"RT @ritholtz: DOUBLEPLUSGOOD

Energy Department climate office bans use of phrase ‘climate change’ 
"
-1,
-1,"RT @AndyHortin: .@VP: 'For some reason, this issue of climate change has emerged as a paramount issue for the left. #MAGA�������� …"
-1,"RT @_Makada_: Liberals call anyone skeptical of their bullshit a 'denier.' Man made climate change is a HOAX. CO is NOT poison.

#IAmAClim…"
-1,"RT @foxandfriends: .@guypbenson Regardless of your thoughts on climate change policy, alarmist rhetoric like 'Trump helped hurry our e…"
-1,
-1,
-1,"RT @SteveSGoddard:  was the hottest year on record in the US. That didn't suit the global warming agenda, so @NASA erased the heat…"
-1,
-1,RT @USFreedomArmy: Now we know the real reason for the climate change hysteria. Enlist with us at  Join our pa…
-1,
-1,
-1,
-1,RT @SteveSGoddard: The global warming is bad in Vermont on the first day of Spring 
-1,
-1,
-1,"RT @Martin_Durkin: Wonderful Trump appoints the charming, clever, sane Myron Ebell to take on the global warming charlatans. Hurrah!!! httpÃ¢â‚¬Â¦"
-1,
-1,
-1,"RT @GMBnumba: Obama could've spent the $mil that he spent on climate change models, on things like helping inner city communities."
-1,"RT @BittrScrptReadr: On a day of total humanitarian horror, Bernie Sanders is tweeting about... climate change and Wall Street.

Hootie has…"
-1,
-1,"RT @AdolfBiden: Dumbass liberals claim to believe 'climate change' is going to cause the seas to rise, yet they all own beach houseÃ¢â‚¬Â¦"
-1,"RT @MarkYoungTruth: Wow, now Hillary is blaming the DNC? It's only a matter of time before she blames global warming and Bigfoot. Dems…"
-1,"RT @SteveSGoddard: If you can read this post and still be a believer in the global warming scam, then you are an idiot.…"
-1,
-1,
-1,RT @sdmeaney: @DailyCaller The Don &amp; Vlad skipping out on the climate change meeting to talk about ISIS and other more important issues
-1,
-1,RT @jrjc: At least  ice ages were ended by global warming when no humans or SUVs were present to cause global warming…
-1,"RT @SteveSGoddard: Sad news : The #fakenews @guardian says global warming killed us all two years ago.
 …"
-1,RT @CStamper_: Dems'  strategy: promise people they'll solve climate change by making everyone poor. Sounds like a real winner. https:/…
-1,
-1,
-1,RT @brobert: @AnnCoulter #MichaelCreighton addressed #environmental zealots. They have replaced religion with #climate change …
-1,RT @PrisonPlanet: A bunch of Oxford elitists want to tax the food of poor people because 'climate change'. How about fuck off instead? httpÃ¢â‚¬Â¦
-1,RT @AnnCoulter: New study: Whole galaxies nearby are dying off.  So global warming a lot worse than we thought!
-1,"RT @LarrySchweikart: Bravo Rick Perry, who told Energy Dep. not to use 'climate change' or 'Paris Agreement' in memos!"
-1,
-1,"RT @realDonaldTrump: It's freezing outside, where the hell is 'global warming'??"
-1,RT @OurHiddenHistry: Bill Nye the Policeman Guy is going to lock you up for thinking something about global warming. Sez Newsmax. …
-1,"RT @tylerabbett: @jacobahernz it's climate change, which is nature doing its thing, it's not global warming lmao"
-1,
-1,RT @ClimateNewsCA: HALF of #Arctic ice loss is driven by natural swings and not man made global warming  Cc: @Earthf…
-1,RT @CarmineZozzora: 's coming ice age scam caused global warming which caused climate change which caused the climate disruption th…
-1,"RT @T_S_P_O_O_K_Y: Why would a political scientist, Noam Chomsky, speak out on global warming - because it's political, not scientific httÃ¢â‚¬Â¦"
-1,
-1,
-1,
-1,"RT @os: Whistleblower admits scientists manipulated data, making global warming seem worse to help Obama "
-1,RT @WSCP: Another global warming argument bites the dust: No Increase in Global Drought Over Past  Yrs:  #ClimateÃ¢â‚¬Â¦
-1,
-1,
-1,"RT @ClimateRealists: Three Cheers: New global warming study is terrible news for alarmists, good news for plants, animals and people https:…"
-1,
-1,"RT @peddoc: Males XY
Females XX
Abortions are human fetuses.
Manmade global warming has not been proven. 
Now, Do you believe i…"
-1,RT @PatriotMomNDJ: Mayor of disappearing island faces Al Gore and shuts down global warming claim: 
-1,"RT @hale_razor: Each ISIS attack now is a reaction to Trump policies, but all ISIS attacks during Obama's term were due to climate change &amp;…"
-1,
-1,"RT @meyers: Finally, Paris climate change agreement designed by crooks- #Trump is not buying this crap "
-1,
-1,RT @markconway: CO is not a driver of global warming &amp; the globe is not warming. What else do you need to know? The money is what. https:…
-1,"RT @LarrySchweikart: Under Trump, EPA to fix Flint's water supply instead of farting around with non-existent 'climate change.' 

Real poli…"
-1,
-1,
-1,"RT @Dwarfclone: @DocThompsonShow #WhatILearnedToday

How can there be 'global warming' when college campuses are so overrun with 'snowflakeÃ¢â‚¬Â¦"
-1,"RT @SpeakeasyJames: Tell that to the zealots of climate change here in Ontario. Huge waste of borrowed money x elec costs.
Brutal https://…"
-1,"RT @WalshFreedom: Trump picks someone to head up the EPA who has the nerve to question the veracity of global warming.

That's just awesome…"
-1,
-1,"RT @jeffswarens: Nope. 

Climate change is real and naturally occuring.

Man made climate change is a joke. "
-1,RT @RyanMaue: Those people losing sleep due to climate change are murdering each other at night. Crime skyrockets. 
-1,RT @seanhannity: NEXT Bill Cunningham and @MonicaCrowley weigh in on the left and media talking about “fake news” and climate change  #Hann…
-1,RT @worldnetdaily: Sorry global warming liars... Arctic sea ice today is about the same thickness as it was  years ago. …
-1,"RT @Dork_Power: #IfOnlyTheEarthCouldSpeak, it would tell everyone climate change has been occurring since Earth: Day ."
-1,"RT @SteveSGoddard: If you follow me on twitter and read my blog, you know that catastrophic global warming is the biggest scam in science h…"
-1,RT @RossGittins: Climate change? What climate change?  #climatechange #ausecon #ausbiz #auspol
-1,RT @DineshDSouza: The Democrats--with time on their hands--are working on some amazing ideas to end climate change on Mars …
-1,
-1,
-1,
-1,RT @JunkScience: We don't 'believe' in gravity. It is a predictable force.... in contrast to climate change which is not predictable…
-1,RT @theblaze: Liberals have epic meltdown after NYT columnist suggests science behind climate change isn’t certain…
-1,"RT @ANow: The Science Is Settled LIARS
World leaders duped by manipulated global warming data  via… "
-1,
-1,
-1,RT @Stevenwhirsch: Remember when Al Gore predicted the ice caps would melt by ? Man has nothing to do with climate change. It's a…
-1,RT @derekahunter: Now they make  year predictions of doom &amp; gloom for climate change because no one will be around to call BS when it do…
-1,RT @paulbenedict: @Rubysayzz @theblaze People believing global warming &amp; Darwin will believe anything. Sad when an enemy makes more s…
-1,
-1,RT @ChrisIsTheSaint: @SupaBudda @xKidxGuccix Cause climate change is just as retarded as his 'music'... 'Yeah' *Uzi's gay ass voice*
-1,"RT @mmccdenier: Trump has the shovel now, and it's time to bury the pseudoscience of climate change... "
